date,open,high,low,close,volume
1980-12-12,0.1015,0.1019,0.1015,0.1015,469033600
1980-12-15,0.0967,0.0967,0.0962,0.0962,175884800
1980-12-16,0.0896,0.0896,0.0891,0.0891,105728000
1980-12-17,0.0913,0.0918,0.0913,0.0913,86441600
1980-12-18,0.0940,0.0944,0.0940,0.0940,73449600
1980-12-19,0.0997,0.1002,0.0997,0.0997,48630400
1980-12-22,0.1046,0.1050,0.1046,0.1046,37363200
1980-12-23,0.1090,0.1094,0.1090,0.1090,46950400
1980-12-24,0.1147,0.1152,0.1147,0.1147,48003200
1980-12-26,0.1253,0.1258,0.1253,0.1253,55574400
1980-12-29,0.1271,0.1276,0.1271,0.1271,93161600
1980-12-30,0.1244,0.1244,0.1240,0.1240,68880000
1980-12-31,0.1209,0.1209,0.1205,0.1205,35750400
1981-01-02,0.1218,0.1227,0.1218,0.1218,21660800
1981-01-05,0.1196,0.1196,0.1192,0.1192,35728000
1981-01-06,0.1143,0.1143,0.1139,0.1139,45158400
1981-01-07,0.1094,0.1094,0.1090,0.1090,55686400
1981-01-08,0.1072,0.1072,0.1068,0.1068,39827200
1981-01-09,0.1125,0.1130,0.1125,0.1125,21504000
1981-01-12,0.1125,0.1125,0.1116,0.1116,23699200
1981-01-13,0.1081,0.1081,0.1077,0.1077,23049600
1981-01-14,0.1081,0.1086,0.1081,0.1081,14291200
1981-01-15,0.1103,0.1112,0.1103,0.1103,14067200
1981-01-16,0.1099,0.1099,0.1094,0.1094,13395200
1981-01-19,0.1160,0.1165,0.1160,0.1160,41574400
1981-01-20,0.1130,0.1130,0.1125,0.1125,30083200
1981-01-21,0.1147,0.1156,0.1147,0.1147,15904000
1981-01-22,0.1160,0.1170,0.1160,0.1160,35548800
1981-01-23,0.1160,0.1165,0.1156,0.1156,11222400
1981-01-26,0.1143,0.1143,0.1139,0.1139,24640000
1981-01-27,0.1139,0.1139,0.1130,0.1130,23699200
1981-01-28,0.1099,0.1099,0.1094,0.1094,28156800
1981-01-29,0.1059,0.1059,0.1055,0.1055,43904000
1981-01-30,0.1006,0.1006,0.0997,0.0997,46188800
1981-02-02,0.0944,0.0944,0.0940,0.0940,23766400
1981-02-03,0.0975,0.0980,0.0975,0.0975,19152000
1981-02-04,0.1010,0.1015,0.1010,0.1010,27865600
