date,open,high,low,close,volume
1970-01-02,0.4321,0.4333,0.4213,0.4213,1195200
1970-01-05,0.4213,0.4225,0.4105,0.4111,964800
1970-01-06,0.4111,0.4189,0.4093,0.4189,1036800
1970-01-07,0.4189,0.4201,0.4159,0.4171,331200
1970-01-08,0.4171,0.4237,0.4171,0.4201,460800
1970-01-09,0.4225,0.4285,0.4225,0.4225,748800
1970-01-12,0.4225,0.4225,0.4153,0.4153,864000
1970-01-13,0.4165,0.4225,0.4165,0.4189,849600
1970-01-14,0.4189,0.4261,0.4189,0.4249,619200
1970-01-15,0.4249,0.4261,0.4243,0.4255,1209600
1970-01-16,0.4255,0.4255,0.4237,0.4249,734400
1970-01-19,0.4243,0.4243,0.4189,0.4195,1180800
1970-01-20,0.4195,0.4195,0.4123,0.4195,763200
1970-01-21,0.4195,0.4213,0.4183,0.4213,878400
1970-01-22,0.4213,0.4225,0.4189,0.4225,360000
1970-01-23,0.4225,0.4237,0.4195,0.4201,979200
1970-01-26,0.4201,0.4201,0.4177,0.4201,979200
1970-01-27,0.4183,0.4183,0.4153,0.4153,532800
1970-01-28,0.4117,0.4117,0.3925,0.3925,1497600
1970-01-29,0.3913,0.3913,0.3709,0.3841,3585600
1970-01-30,0.3793,0.3793,0.3721,0.3793,2808000
1970-02-02,0.3835,0.3985,0.3835,0.3985,1612800
1970-02-03,0.3985,0.4153,0.3961,0.3961,2692800
1970-02-04,0.3919,0.3919,0.3739,0.3787,2793600
1970-02-05,0.3787,0.3961,0.3775,0.3961,1886400
1970-02-06,0.3937,0.3937,0.3889,0.3913,705600
1970-02-09,0.4009,0.4117,0.4009,0.4087,1684800
1970-02-10,0.4153,0.4201,0.4153,0.4165,2505600
1970-02-11,0.4153,0.4153,0.4111,0.4129,2232000
1970-02-12,0.4129,0.4129,0.3952,0.3979,3369600
1970-02-13,0.3964,0.3964,0.3841,0.3889,1540800
1970-02-16,0.3897,0.3915,0.3888,0.3888,820800
1970-02-17,0.3888,0.3891,0.3776,0.3812,1915200
1970-02-18,0.3824,0.3854,0.3824,0.3842,878400
1970-02-19,0.3842,0.3842,0.3806,0.3815,576000
1970-02-20,0.3806,0.3806,0.3728,0.3743,1396800
1970-02-24,0.3743,0.3758,0.3638,0.3662,3744000
1970-02-25,0.3662,0.3800,0.3644,0.3800,2822400
1970-02-26,0.3764,0.3764,0.3686,0.3728,1353600
1970-02-27,0.3752,0.3848,0.3752,0.3833,1627200
1970-03-02,0.3833,0.3891,0.3800,0.3800,1051200
1970-03-03,0.3800,0.3806,0.3740,0.3806,1468800
1970-03-04,0.3806,0.3872,0.3806,0.3842,734400
1970-03-05,0.3842,0.3854,0.3824,0.3836,892800
1970-03-06,0.3836,0.3836,0.3770,0.3782,907200
1970-03-09,0.3770,0.3770,0.3740,0.3758,273600
1970-03-10,0.3740,0.3740,0.3695,0.3728,1353600
1970-03-11,0.3728,0.3776,0.3716,0.3758,432000
1970-03-12,0.3761,0.3788,0.3761,0.3770,388800
1970-03-13,0.3752,0.3752,0.3728,0.3728,1339200
1970-03-16,0.3728,0.3728,0.3662,0.3668,806400
1970-03-17,0.3668,0.3680,0.3650,0.3650,1267200
1970-03-18,0.3656,0.3686,0.3656,0.3686,748800
1970-03-19,0.3698,0.3716,0.3698,0.3698,1123200
1970-03-20,0.3698,0.3698,0.3674,0.3698,518400
1970-03-23,0.3692,0.3692,0.3656,0.3668,216000
1970-03-24,0.3665,0.3665,0.3608,0.3647,1670400
1970-03-25,0.3680,0.3812,0.3680,0.3764,2275200
1970-03-26,0.3764,0.3788,0.3752,0.3764,936000
1970-03-30,0.3764,0.3782,0.3740,0.3746,1368000
1970-03-31,0.3728,0.3728,0.3692,0.3716,676800
1970-04-01,0.3704,0.3704,0.3680,0.3689,820800
1970-04-02,0.3668,0.3668,0.3620,0.3629,792000
1970-04-03,0.3629,0.3650,0.3629,0.3644,1008000
1970-04-06,0.3644,0.3662,0.3542,0.3548,2275200
1970-04-07,0.3542,0.3542,0.3440,0.3446,1526400
1970-04-08,0.3446,0.3452,0.3421,0.3440,734400
1970-04-09,0.3440,0.3524,0.3440,0.3518,820800
1970-04-10,0.3518,0.3572,0.3503,0.3512,3312000
1970-04-13,0.3512,0.3512,0.3464,0.3488,878400
1970-04-14,0.3488,0.3548,0.3440,0.3542,835200
1970-04-15,0.3542,0.3602,0.3536,0.3560,2217600
1970-04-16,0.3560,0.3560,0.3518,0.3521,1252800
1970-04-17,0.3521,0.3524,0.3512,0.3518,950400
1970-04-20,0.3518,0.3524,0.3494,0.3512,1425600
1970-04-21,0.3512,0.3536,0.3488,0.3491,518400
1970-04-22,0.3488,0.3488,0.3464,0.3467,561600
1970-04-23,0.3467,0.3470,0.3355,0.3364,763200
1970-04-24,0.3364,0.3367,0.3346,0.3349,792000
1970-04-27,0.3346,0.3346,0.3307,0.3313,705600
1970-04-28,0.3313,0.3319,0.3295,0.3295,676800
1970-04-29,0.3295,0.3415,0.3235,0.3415,2534400
1970-04-30,0.3415,0.3488,0.3415,0.3440,532800
1970-05-01,0.3440,0.3440,0.3415,0.3421,316800
1970-05-04,0.3379,0.3379,0.3313,0.3313,576000
1970-05-05,0.3301,0.3301,0.3277,0.3277,950400
1970-05-06,0.3277,0.3331,0.3277,0.3331,1166400
1970-05-07,0.3343,0.3391,0.3343,0.3379,1137600
1970-05-08,0.3379,0.3403,0.3307,0.3331,921600
1970-05-11,0.3286,0.3286,0.3247,0.3247,705600
1970-05-12,0.3247,0.3331,0.3241,0.3271,763200
1970-05-13,0.3259,0.3259,0.3241,0.3250,360000
1970-05-14,0.3250,0.3253,0.3175,0.3217,1094400
1970-05-15,0.3247,0.3367,0.3247,0.3367,676800
1970-05-18,0.3500,0.3500,0.3409,0.3409,187200
1970-05-19,0.3409,0.3428,0.3229,0.3229,657600
1970-05-20,0.3229,0.3247,0.3184,0.3184,542400
1970-05-21,0.3139,0.3139,0.3004,0.3067,1881600
1970-05-22,0.3073,0.3127,0.2964,0.3054,777600
1970-05-25,0.3036,0.3036,0.2838,0.2838,1718400
1970-05-26,0.2838,0.2856,0.2693,0.2702,1536000
1970-05-27,0.2783,0.2910,0.2783,0.2910,2001600
1970-05-28,0.2910,0.2982,0.2874,0.2964,3168000
1970-05-29,0.2964,0.3145,0.2928,0.3145,1872000
1970-06-01,0.3145,0.3253,0.3127,0.3253,1555200
1970-06-02,0.3253,0.3289,0.3163,0.3217,1190400
1970-06-03,0.3217,0.3353,0.3190,0.3353,1185600
1970-06-04,0.3353,0.3461,0.3326,0.3326,1948800
1970-06-05,0.3326,0.3326,0.3227,0.3245,796800
1970-06-08,0.3245,0.3280,0.3163,0.3271,523200
1970-06-09,0.3271,0.3280,0.3181,0.3253,652800
1970-06-10,0.3253,0.3317,0.3245,0.3245,744000
1970-06-11,0.3245,0.3317,0.3217,0.3307,628800
1970-06-12,0.3307,0.3326,0.3271,0.3307,696000
1970-06-15,0.3307,0.3380,0.3289,0.3362,374400
1970-06-16,0.3398,0.3669,0.3398,0.3615,912000
1970-06-17,0.3615,0.3615,0.3488,0.3542,974400
1970-06-18,0.3542,0.3615,0.3506,0.3615,556800
1970-06-19,0.3615,0.3669,0.3542,0.3542,1238400
1970-06-22,0.3542,0.3597,0.3398,0.3542,393600
1970-06-23,0.3506,0.3506,0.3398,0.3416,715200
