date,open,high,low,close,volume
1986-03-13,0.0568,0.0652,0.0568,0.0624,1031788800
1986-03-14,0.0624,0.0657,0.0624,0.0646,308160000
1986-03-17,0.0646,0.0663,0.0646,0.0657,133171200
1986-03-18,0.0657,0.0663,0.0635,0.0641,67766400
1986-03-19,0.0641,0.0646,0.0624,0.0630,47894400
1986-03-20,0.0630,0.0630,0.0607,0.0613,58435200
1986-03-21,0.0613,0.0624,0.0585,0.0596,59990400
1986-03-24,0.0596,0.0596,0.0574,0.0579,65289600
1986-03-25,0.0579,0.0591,0.0574,0.0591,32083200
1986-03-26,0.0591,0.0613,0.0585,0.0607,22752000
1986-03-27,0.0607,0.0618,0.0607,0.0618,16848000
1986-03-31,0.0618,0.0618,0.0602,0.0613,12873600
1986-04-01,0.0613,0.0613,0.0607,0.0607,11088000
1986-04-02,0.0607,0.0624,0.0607,0.0613,27014400
1986-04-03,0.0618,0.0635,0.0618,0.0618,23040000
1986-04-04,0.0618,0.0624,0.0618,0.0618,26582400
1986-04-07,0.0618,0.0624,0.0596,0.0607,16560000
1986-04-08,0.0607,0.0624,0.0607,0.0613,10252800
1986-04-09,0.0613,0.0630,0.0613,0.0624,12153600
1986-04-10,0.0624,0.0635,0.0613,0.0630,13881600
1986-04-11,0.0635,0.0652,0.0635,0.0641,17222400
1986-04-14,0.0641,0.0652,0.0641,0.0646,12153600
1986-04-15,0.0646,0.0646,0.0624,0.0646,9302400
1986-04-16,0.0646,0.0674,0.0641,0.0669,31910400
1986-04-17,0.0669,0.0674,0.0669,0.0674,22003200
1986-04-18,0.0674,0.0674,0.0646,0.0652,21628800
1986-04-21,0.0652,0.0657,0.0635,0.0652,22924800
1986-04-22,0.0652,0.0652,0.0641,0.0641,15552000
1986-04-23,0.0641,0.0646,0.0635,0.0643,15609600
1986-04-24,0.0643,0.0719,0.0641,0.0708,62352000
1986-04-25,0.0713,0.0783,0.0713,0.0752,85795200
1986-04-28,0.0752,0.0763,0.0747,0.0758,28886400
1986-04-29,0.0758,0.0758,0.0730,0.0735,30326400
1986-04-30,0.0735,0.0741,0.0702,0.0719,30902400
1986-05-01,0.0719,0.0719,0.0696,0.0708,54345600
1986-05-02,0.0708,0.0719,0.0702,0.0708,20246400
1986-05-05,0.0708,0.0708,0.0702,0.0702,3254400
1986-05-06,0.0708,0.0719,0.0708,0.0708,9734400
1986-05-07,0.0708,0.0713,0.0696,0.0708,5155200
1986-05-08,0.0708,0.0713,0.0702,0.0713,3542400
1986-05-09,0.0713,0.0713,0.0708,0.0708,6076800
1986-05-12,0.0708,0.0730,0.0708,0.0713,10483200
1986-05-13,0.0713,0.0724,0.0713,0.0719,3830400
1986-05-14,0.0719,0.0719,0.0713,0.0713,9302400
1986-05-15,0.0713,0.0724,0.0713,0.0713,3801600
1986-05-16,0.0713,0.0735,0.0713,0.0719,11952000
1986-05-19,0.0719,0.0719,0.0702,0.0708,11001600
1986-05-20,0.0708,0.0708,0.0696,0.0702,61977600
1986-05-21,0.0702,0.0708,0.0691,0.0691,8092800
1986-05-22,0.0691,0.0696,0.0691,0.0691,4406400
1986-05-23,0.0691,0.0702,0.0691,0.0691,4089600
1986-05-27,0.0691,0.0713,0.0691,0.0713,13881600
1986-05-28,0.0713,0.0735,0.0713,0.0735,15523200
1986-05-29,0.0735,0.0763,0.0730,0.0752,45676800
1986-05-30,0.0758,0.0791,0.0758,0.0780,27072000
1986-06-02,0.0780,0.0780,0.0758,0.0758,19728000
1986-06-03,0.0758,0.0758,0.0747,0.0758,5011200
1986-06-04,0.0758,0.0763,0.0747,0.0752,4723200
1986-06-05,0.0752,0.0763,0.0747,0.0763,13708800
1986-06-06,0.0763,0.0763,0.0752,0.0763,3427200
