date,open,high,low,close,volume
1972-08-25,0.0406,0.0414,0.0406,0.0412,2508800
1972-08-28,0.0412,0.0415,0.0411,0.0411,972800
1972-08-29,0.0409,0.0409,0.0406,0.0406,1945600
1972-08-30,0.0406,0.0406,0.0403,0.0406,409600
1972-08-31,0.0403,0.0403,0.0400,0.0400,870400
1972-09-01,0.0401,0.0403,0.0401,0.0403,256000
1972-09-05,0.0403,0.0403,0.0400,0.0400,563200
1972-09-06,0.0403,0.0403,0.0403,0.0403,256000
1972-09-07,0.0403,0.0403,0.0401,0.0401,1177600
1972-09-08,0.0400,0.0400,0.0398,0.0398,665600
1972-09-11,0.0401,0.0401,0.0401,0.0401,921600
1972-09-12,0.0401,0.0401,0.0401,0.0401,614400
1972-09-13,0.0401,0.0401,0.0401,0.0401,153600
1972-09-14,0.0401,0.0404,0.0400,0.0404,1280000
1972-09-15,0.0403,0.0403,0.0401,0.0401,512000
1972-09-18,0.0403,0.0404,0.0403,0.0403,1075200
1972-09-19,0.0401,0.0401,0.0398,0.0400,3123200
1972-09-20,0.0396,0.0396,0.0396,0.0396,51200
1972-09-21,0.0393,0.0393,0.0384,0.0384,1433600
1972-09-22,0.0382,0.0382,0.0370,0.0370,870400
1972-09-25,0.0368,0.0368,0.0359,0.0359,972800
1972-09-26,0.0359,0.0359,0.0356,0.0357,716800
1972-09-27,0.0354,0.0354,0.0350,0.0350,665600
1972-09-28,0.0356,0.0362,0.0356,0.0359,1433600
1972-09-29,0.0362,0.0364,0.0362,0.0364,256000
1972-10-02,0.0367,0.0381,0.0367,0.0381,1638400
1972-10-03,0.0384,0.0387,0.0384,0.0387,512000
1972-10-04,0.0389,0.0398,0.0389,0.0395,1536000
1972-10-05,0.0393,0.0393,0.0384,0.0384,1382400
1972-10-06,0.0382,0.0382,0.0368,0.0368,9779200
1972-10-09,0.0371,0.0375,0.0371,0.0375,1280000
1972-10-10,0.0375,0.0375,0.0375,0.0375,0
1972-10-11,0.0375,0.0376,0.0371,0.0376,460800
1972-10-12,0.0375,0.0375,0.0373,0.0373,358400
1972-10-13,0.0373,0.0373,0.0373,0.0373,51200
1972-10-16,0.0371,0.0371,0.0364,0.0364,665600
1972-10-17,0.0364,0.0371,0.0361,0.0370,2457600
1972-10-18,0.0373,0.0400,0.0373,0.0396,7782400
1972-10-19,0.0396,0.0400,0.0396,0.0398,10598400
1972-10-20,0.0395,0.0395,0.0395,0.0395,51200
1972-10-23,0.0395,0.0395,0.0393,0.0393,460800
1972-10-24,0.0395,0.0395,0.0395,0.0395,102400
1972-10-25,0.0392,0.0392,0.0387,0.0387,1228800
1972-10-26,0.0390,0.0390,0.0390,0.0390,51200
1972-10-27,0.0392,0.0392,0.0392,0.0392,204800
1972-10-30,0.0392,0.0393,0.0389,0.0390,1331200
1972-10-31,0.0392,0.0403,0.0392,0.0403,716800
1972-11-01,0.0407,0.0421,0.0407,0.0421,2252800
1972-11-02,0.0424,0.0429,0.0424,0.0424,716800
1972-11-03,0.0423,0.0423,0.0421,0.0423,1433600
1972-11-06,0.0423,0.0423,0.0423,0.0423,153600
1972-11-08,0.0424,0.0429,0.0424,0.0428,716800
1972-11-09,0.0428,0.0428,0.0424,0.0428,819200
1972-11-10,0.0428,0.0428,0.0428,0.0428,0
1972-11-13,0.0426,0.0426,0.0423,0.0426,409600
1972-11-14,0.0424,0.0424,0.0421,0.0421,153600
1972-11-15,0.0421,0.0423,0.0418,0.0420,563200
1972-11-16,0.0420,0.0421,0.0418,0.0421,614400
1972-11-17,0.0421,0.0424,0.0420,0.0420,1382400
1972-11-20,0.0420,0.0421,0.0418,0.0418,153600
1972-11-21,0.0418,0.0428,0.0415,0.0428,563200
1972-11-22,0.0428,0.0432,0.0428,0.0428,460800
1972-11-24,0.0428,0.0429,0.0426,0.0426,358400
1972-11-27,0.0426,0.0437,0.0424,0.0437,6246400
1972-11-28,0.0434,0.0434,0.0424,0.0424,3481600
1972-11-29,0.0421,0.0421,0.0406,0.0406,3584000
1972-11-30,0.0403,0.0403,0.0401,0.0403,204800
1972-12-01,0.0404,0.0409,0.0404,0.0409,1484800
1972-12-04,0.0412,0.0424,0.0412,0.0424,972800
1972-12-05,0.0431,0.0431,0.0431,0.0431,1331200
1972-12-06,0.0431,0.0431,0.0429,0.0431,409600
1972-12-07,0.0431,0.0431,0.0428,0.0428,665600
1972-12-08,0.0428,0.0428,0.0421,0.0421,9779200
1972-12-11,0.0424,0.0426,0.0424,0.0426,358400
1972-12-12,0.0423,0.0423,0.0421,0.0421,204800
1972-12-13,0.0423,0.0424,0.0423,0.0424,102400
1972-12-14,0.0426,0.0428,0.0426,0.0426,1638400
1972-12-15,0.0428,0.0431,0.0428,0.0429,1536000
1972-12-18,0.0429,0.0429,0.0426,0.0428,1536000
1972-12-19,0.0428,0.0429,0.0426,0.0429,153600
1972-12-20,0.0429,0.0431,0.0403,0.0431,204800
1972-12-21,0.0429,0.0429,0.0426,0.0428,9062400
1972-12-22,0.0428,0.0431,0.0426,0.0431,1228800
1972-12-26,0.0431,0.0435,0.0424,0.0424,614400
1972-12-27,0.0424,0.0428,0.0421,0.0428,768000
1972-12-29,0.0428,0.0431,0.0424,0.0431,307200
1973-01-02,0.0432,0.0435,0.0432,0.0432,460800
1973-01-03,0.0431,0.0431,0.0429,0.0431,768000
1973-01-04,0.0431,0.0435,0.0429,0.0429,1740800
1973-01-05,0.0429,0.0429,0.0426,0.0428,1587200
